driver,file,sector,y,delta,speed_mean,speed_min,speed_max,speed_entry,speed_exit,speed_p95,speed_p05,thr_mean,thr_std,br_mean,br_std,time_on_brake_s,brake_area
Dominik Eisel,Garage 61 - Dominik Eisel - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.625 - 01K58MJCCWQE36N11XD94KRE4D.csv,Infield Switchbacks,11.947986597039684,1.1637576105996175,49.397009541963016,39.42529,58.992886,40.7430361308302,43.898636690787974,58.482692023593756,41.33648343253914,0.7821723672170783,0.3841913804559676,0.044472292651956444,0.1616576642563754,0.9801082755384115,0.5657192028004207
Dominik Eisel,Garage 61 - Dominik Eisel - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.625 - 01K58MJCCWQE36N11XD94KRE4D.csv,NASCAR T1–T2 (Oval),15.67129616260991,0.0,40.18185348622047,16.444328,62.349884,45.6665079262487,62.0152711525926,61.56879473081875,21.89047498687864,0.7250933028718196,0.41074878120212543,0.06383320455289548,0.1524399188745756,2.0201280209614336,0.8336829672953365
Dominik Eisel,Garage 61 - Dominik Eisel - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.625 - 01K58MJCCWQE36N11XD94KRE4D.csv,Backstretch Chicane,9.416892232426028,0.3951634558630541,54.83477265822785,30.626808,68.1155,62.63391829126902,31.52550120721595,67.84816546379938,33.20879288948416,0.5487153774943941,0.47472449318642185,0.13316570927867805,0.21935986144108696,2.391007793389421,1.1652526148910252
Dominik Eisel,Garage 61 - Dominik Eisel - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.625 - 01K58MJCCWQE36N11XD94KRE4D.csv,NASCAR T3–T4 (Oval),12.85805798723383,0.76364988509137,51.53344283819628,29.689434,63.561035,30.78384306780835,63.39220612967315,63.16526607303496,33.11741524592685,0.9748576664734747,0.14866009628323568,3.7845343404828134e-06,4.5015928424268104e-05,0.0,3.572429618079275e-05
Dominik Eisel,Garage 61 - Dominik Eisel - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.625 - 01K58MJCCWQE36N11XD94KRE4D.csv,Frontstretch Chicane Exit,9.689342872170782,0.8155350113971043,45.641132140845066,28.401106,65.98319,63.68671529258717,41.922311420418815,65.73968530326218,29.132145194080923,0.5907208693232225,0.44294499641651996,0.1302155631140188,0.24424186345226814,2.3466377268538614,1.357704544748578
Duncan Schuurman,Garage 61 - Duncan Schuurman - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.906 - 01K5HZR7TBEPV4THNY68AVA06Z.csv,Frontstretch Chicane,6.9843930115601705,1.017131870390438,41.5531443701923,33.470745,50.606087,44.22084210836607,42.5482168908534,50.167888305462796,33.93424796661138,0.6196019315288462,0.44113347302969114,0.07510952555705007,0.12173014196206125,2.0462088901055187,0.5325523885135901
Duncan Schuurman,Garage 61 - Duncan Schuurman - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.906 - 01K5HZR7TBEPV4THNY68AVA06Z.csv,Infield Entry/Horseshoe,11.559463159628052,1.2205238025178513,43.9969889289855,33.202408,55.816116,44.188286901569114,38.988670251250966,55.06770444994586,34.58553313091376,0.5785656056584607,0.43668372213136597,0.04751423319002816,0.10757429639215037,2.0319368835283687,0.5770077510791355
Duncan Schuurman,Garage 61 - Duncan Schuurman - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.906 - 01K5HZR7TBEPV4THNY68AVA06Z.csv,Infield Switchbacks,11.583682235623328,0.7994532491832622,50.191433592485545,40.255062,59.071445,41.534814381818556,44.998536721576095,58.64558233006421,43.107612873048666,0.7497364468803153,0.38047447965299297,0.04087634381374127,0.11835402268694392,1.221716485788398,0.49272917281319867
Duncan Schuurman,Garage 61 - Duncan Schuurman - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.906 - 01K5HZR7TBEPV4THNY68AVA06Z.csv,NASCAR T1–T2 (Oval),16.303299459172734,0.6320032965628251,39.3424430305,12.98907,61.837265,44.51416236853374,61.49578773698628,61.03913858967804,18.994850571708586,0.7356068018310029,0.4050962706823092,0.08021231874241642,0.18091967732550882,2.037912432396592,1.016770431826227
Duncan Schuurman,Garage 61 - Duncan Schuurman - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.906 - 01K5HZR7TBEPV4THNY68AVA06Z.csv,Backstretch Chicane,9.253971970015247,0.2322431934522733,55.04181935144927,28.696926,67.65696,62.11903070551309,29.348024186365066,67.42855505579556,31.192565937086037,0.60795059215352,0.4705233114563815,0.14222255551685328,0.23398964013376408,2.494234632543172,1.1845983284347665
