driver,file,sector,sector_time_sec,brake_start_m,throttle_on_m,entry_speed_kph,exit_speed_kph,min_speed_kph,max_speed_kph,mean_speed_kph,var_speed,full_throttle_ratio,brake_ratio,sector_time_best,delta_time_sec
Sander Blaauw,Garage 61 - Sander Blaauw - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.594 - 01K5H664139B7CPVWQ0SHP2ZVC.csv,NASCAR T3–T4 (Oval),12.72430539636137,,4055.46698655,28.714166839999997,63.72660832,28.714166839999997,63.72660832,51.14109659994743,108.73859243753832,0.9342969776609724,0.0,12.096361743817779,0.6279436525435909
Sander Blaauw,Garage 61 - Sander Blaauw - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.594 - 01K5H664139B7CPVWQ0SHP2ZVC.csv,Frontstretch Chicane Exit,9.625544181633515,5372.38226151,5650.5159513,63.7431884,41.25104976923077,27.5456646,66.4640784,45.107954340408874,224.5903493222303,0.5217391304347826,0.21391304347826087,8.87322455314477,0.7523196284887455
Santiago Fressineau,Garage 61 - Santiago Fressineau - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.18.159 - 01K5EWSBFTW389SX4W5EW1W17D.csv,Frontstretch Chicane,6.558163945663853,187.859592339,353.48439939,43.146850615384615,43.68587164,37.61712636,51.72828916,43.951179792109336,20.557607190539557,0.5470737913486005,0.17557251908396945,5.96698058012354,0.5911833655403136
Santiago Fressineau,Garage 61 - Santiago Fressineau - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.18.159 - 01K5EWSBFTW389SX4W5EW1W17D.csv,Infield Entry/Horseshoe,11.052177979965423,829.1862107699999,1220.7061737,43.73552404,38.58087784,35.09369704,56.10111116,45.789191028096674,40.401042939187164,0.48942598187311176,0.18429003021148035,10.33970865350089,0.7124693264645323
Santiago Fressineau,Garage 61 - Santiago Fressineau - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.18.159 - 01K5EWSBFTW389SX4W5EW1W17D.csv,Infield Switchbacks,11.434959922462419,1891.36027752,1274.57852478,38.66182508,45.917898199999996,38.66182508,59.216041999999995,50.60326989313868,31.187232231580627,0.6423357664233577,0.10364963503649635,10.785510625633757,0.6494492968286618
Santiago Fressineau,Garage 61 - Santiago Fressineau - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.18.159 - 01K5EWSBFTW389SX4W5EW1W17D.csv,NASCAR T1–T2 (Oval),16.71607859621066,2261.9335055399997,2446.70402118,45.851807,62.23833912,15.35007246,62.23833912,38.91031685765641,238.12813990276706,0.6107249255213505,0.14895729890764647,15.671501026181963,1.0445775700286983
Santiago Fressineau,Garage 61 - Santiago Fressineau - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.18.159 - 01K5EWSBFTW389SX4W5EW1W17D.csv,Backstretch Chicane,9.68655735606506,3731.78826732,,62.26155696000001,26.510591759999997,26.506701640000003,67.82192772,52.21069918756014,233.7999659164337,0.47079037800687284,0.3333333333333333,9.0217610919371,0.6647962641279612
Santiago Fressineau,Garage 61 - Santiago Fressineau - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.18.159 - 01K5EWSBFTW389SX4W5EW1W17D.csv,NASCAR T3–T4 (Oval),12.73069571147547,,4058.0237271,26.520096440000003,64.33572136,26.520096440000003,64.33572136,51.11310786533509,120.62165974524085,0.961892247043364,0.0,12.096361743817779,0.6343339676576907
Santiago Fressineau,Garage 61 - Santiago Fressineau - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.18.159 - 01K5EWSBFTW389SX4W5EW1W17D.csv,Frontstretch Chicane Exit,9.980366488157115,5346.920462399999,5641.8878571000005,64.35310016,41.62295146153846,26.1192818,66.560191,43.500269099694584,241.07328342015032,0.4766666666666667,0.265,8.87322455314477,1.1071419350123453
Saul Gold-Hatfield,Garage 61 - Saul Gold-Hatfield - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.683 - 01K5RWKZJ6Q8RVB85X70A0151W.csv,Frontstretch Chicane,6.393116265409567,196.363276071,397.63157793,44.478803923076924,41.8420222,39.128039120000004,52.59581712,45.064425391203535,19.67574103997099,0.4036458333333333,0.13802083333333334,5.96698058012354,0.4261356852860274
Saul Gold-Hatfield,Garage 61 - Saul Gold-Hatfield - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.683 - 01K5RWKZJ6Q8RVB85X70A0151W.csv,Infield Entry/Horseshoe,11.231747278937942,856.29015159,1185.29333298,41.8933964,36.375361240000004,33.645545160000005,54.96481624,45.04336391313433,45.240980781742074,0.4462686567164179,0.18507462686567164,10.33970865350089,0.8920386254370509
Saul Gold-Hatfield,Garage 61 - Saul Gold-Hatfield - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.683 - 01K5RWKZJ6Q8RVB85X70A0151W.csv,Infield Switchbacks,11.642357902400041,1916.8000053,1274.9193269700002,36.47069036,43.228902319999996,36.47069036,59.5872764,49.618625510014354,44.04202513272517,0.7130559540889526,0.09038737446197992,10.785510625633757,0.8568472767662847
Saul Gold-Hatfield,Garage 61 - Saul Gold-Hatfield - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.683 - 01K5RWKZJ6Q8RVB85X70A0151W.csv,NASCAR T1–T2 (Oval),16.234863229980085,2266.06246629,2443.46451765,43.28856388,62.01647184,17.240983959999998,62.01647184,40.02450361586065,215.18099262188375,0.6875,0.11782786885245902,15.671501026181963,0.563362203798123
Saul Gold-Hatfield,Garage 61 - Saul Gold-Hatfield - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.683 - 01K5RWKZJ6Q8RVB85X70A0151W.csv,Backstretch Chicane,9.617831002412226,3776.682627,4046.346777,62.03915896,28.760921720000002,28.39839136,67.43034492000001,52.57564983259516,239.93226240028076,0.5259515570934256,0.19896193771626297,9.0217610919371,0.5960699104751264
Saul Gold-Hatfield,Garage 61 - Saul Gold-Hatfield - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.683 - 01K5RWKZJ6Q8RVB85X70A0151W.csv,NASCAR T3–T4 (Oval),12.550107077569928,,4055.5449024000004,28.80366608,64.18626088,28.80366608,64.18626088,51.892789349827815,103.43826480890625,0.9920529801324504,0.0,12.096361743817779,0.4537453337521491
Saul Gold-Hatfield,Garage 61 - Saul Gold-Hatfield - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.683 - 01K5RWKZJ6Q8RVB85X70A0151W.csv,Frontstretch Chicane Exit,10.012977243290226,5321.28800151,5550.52616445,64.20346016,44.02040215384616,26.467464279999998,66.42109164,43.27607452576139,215.8490033779739,0.39767054908485855,0.26955074875207985,8.87322455314477,1.1397526901454569
Sean Meloy,Garage 61 - Sean Meloy - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.203 - 01K5F45REBAEK1BNXS9PJHF3MQ.csv,Frontstretch Chicane,6.541996559228305,179.702022978,347.780820138,44.55182492307692,44.11348424,38.51174044,52.036121040000005,44.38465432229474,19.901947990719307,0.4910025706940874,0.17480719794344474,5.96698058012354,0.5750159791047649
Sean Meloy,Garage 61 - Sean Meloy - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.203 - 01K5F45REBAEK1BNXS9PJHF3MQ.csv,Infield Entry/Horseshoe,11.391120181889521,849.33044139,1198.80625857,44.16660876,37.951951480000005,34.07428316,54.73098948,44.7334809039291,36.40231171590632,0.35893648449039883,0.19497784342688332,10.33970865350089,1.0514115283886305
Sean Meloy,Garage 61 - Sean Meloy - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.203 - 01K5F45REBAEK1BNXS9PJHF3MQ.csv,Infield Switchbacks,11.573692046639284,1963.5657357,1274.57377452,38.029969799999996,40.99915152,38.029969799999996,59.466175279999995,50.34590926631732,44.553167232902524,0.7117903930131004,0.15429403202328967,10.785510625633757,0.7881814210055271
Sean Meloy,Garage 61 - Sean Meloy - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.203 - 01K5F45REBAEK1BNXS9PJHF3MQ.csv,NASCAR T1–T2 (Oval),16.208314919848426,2288.5721526,2437.90798791,41.02857648,62.56372352,15.85311854,62.56372352,39.79856897734531,221.4599260776566,0.7055888223552894,0.1377245508982036,15.671501026181963,0.5368138936664639
Sean Meloy,Garage 61 - Sean Meloy - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.203 - 01K5F45REBAEK1BNXS9PJHF3MQ.csv,Backstretch Chicane,9.241465072807843,3779.2871597999997,4049.79801468,62.58964552,29.36124784,29.21032732,68.29912639999999,55.27248386852995,212.41903736707604,0.5517241379310345,0.2577132486388385,9.0217610919371,0.21970398087074372
Sean Meloy,Garage 61 - Sean Meloy - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.203 - 01K5F45REBAEK1BNXS9PJHF3MQ.csv,NASCAR T3–T4 (Oval),12.661552774964592,,4055.2204944,29.39778036,63.6707448,29.39778036,63.6707448,51.83052619783355,102.03983737650522,0.9313077939233818,0.0,12.096361743817779,0.5651910311468136
Sean Meloy,Garage 61 - Sean Meloy - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.203 - 01K5F45REBAEK1BNXS9PJHF3MQ.csv,Frontstretch Chicane Exit,9.584858444622041,5343.70975008,5586.28745412,63.685477920000004,43.310388999999994,28.02660168,65.84596444,45.62955270267683,198.85432450780613,0.46924428822495606,0.28295254833040423,8.87322455314477,0.7116338914772715
Sean Vale,Garage 61 - Sean Vale - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.820 - 01K5S16R5DV7K0S7XXPHQX38MK.csv,Frontstretch Chicane,6.465480034469816,189.49192650000003,329.770186176,43.52843653846154,43.06343824,40.01877852,52.0943676,44.59491880025256,16.18480228195169,0.3917525773195876,0.14948453608247422,5.96698058012354,0.49849945434627596
Sean Vale,Garage 61 - Sean Vale - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.820 - 01K5S16R5DV7K0S7XXPHQX38MK.csv,Infield Entry/Horseshoe,11.101188814526989,817.53034719,1160.41633722,43.12167188,40.98173564,36.71305328,55.49214223999999,45.59902880289157,32.02032405742007,0.3704819277108434,0.13403614457831325,10.33970865350089,0.761480161026098
Sean Vale,Garage 61 - Sean Vale - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.820 - 01K5S16R5DV7K0S7XXPHQX38MK.csv,Infield Switchbacks,11.238758770172682,1922.14769739,1274.9373432,41.02261792,41.96909824,41.02261792,60.27784584,51.42009274887574,39.59546531037058,0.6242603550295858,0.15976331360946747,10.785510625633757,0.45324814453892515
Sean Vale,Garage 61 - Sean Vale - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.820 - 01K5S16R5DV7K0S7XXPHQX38MK.csv,NASCAR T1–T2 (Oval),16.71147624457193,2271.209373,2435.9798457899997,42.00105196,62.0529986,14.8606439,62.0529986,38.84853661600398,240.54817056692366,0.5984095427435387,0.15009940357852883,15.671501026181963,1.0399752183899675
Sean Vale,Garage 61 - Sean Vale - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.820 - 01K5S16R5DV7K0S7XXPHQX38MK.csv,Backstretch Chicane,9.159597653672064,3789.7993693199996,,62.07568048,30.1703364,30.16080172,67.58829388,55.28146969719489,187.1919942802595,0.5828779599271403,0.2495446265938069,9.0217610919371,0.1378365617349644
Sean Vale,Garage 61 - Sean Vale - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.820 - 01K5S16R5DV7K0S7XXPHQX38MK.csv,NASCAR T3–T4 (Oval),12.582936722762838,,4057.9629005999996,30.179519959999997,63.82341416,30.179519959999997,63.82341416,51.69644797067728,101.66627302285696,0.9110225763612217,0.0,12.096361743817779,0.4865749789450593
Sean Vale,Garage 61 - Sean Vale - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.820 - 01K5S16R5DV7K0S7XXPHQX38MK.csv,Frontstretch Chicane Exit,9.560561759823674,5367.94007325,5597.8210854,63.84131484,41.73121369230769,29.72886568,66.63542092,45.357073126041556,217.45589666151318,0.4572425828970332,0.21465968586387435,8.87322455314477,0.6873372066789045
