file,driver,lap_time_sec
Garage 61 - Kevin Adrian - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.663 - 01K5CY7PJ3JY266RD6FD7QR3N8.csv,Kevin Adrian,77.663
Garage 61 - Kevin Schmitter - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.084 - 01K5AJBKHKKBKHHF58YQAZK0KC.csv,Kevin Schmitter,77.084
Garage 61 - Kheirdine Mammeri - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.451 - 01K5KQTMEJEH5TSP1D50ZQ8GH8.csv,Kheirdine Mammeri,74.451
Garage 61 - Kimie Harada - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.103 - 01K5DBEQ76R7SGP37MN6YA1PWE.csv,Kimie Harada,74.103
Garage 61 - Leo Karavasili - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.632 - 01K5PESZF6K97GZ78MKN1XAGH5.csv,Leo Karavasili,74.632
Garage 61 - Loukas Afxentiou - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.825 - 01K5A2X5QVG1MR3QW5GQ2HNV63.csv,Loukas Afxentiou,77.825
Garage 61 - Malte Tredup - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.18.142 - 01K5J0Z3MHHYV69J79ECRJ2VFD.csv,Malte Tredup,78.142
Garage 61 - Marc Hessellund - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.693 - 01K5GGGEQDK6P1DEJHAJ014SXR.csv,Marc Hessellund,77.693
Garage 61 - Markell Holmes - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.18.154 - 01K5AQZP05K301D6VZMV4A7DQX.csv,Markell Holmes,78.154
Garage 61 - Martin Heidenreich - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.545 - 01K4X7SAKJAPT7ZKZ0939CXNV4.csv,Martin Heidenreich,77.545
Garage 61 - Matt Murphy - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.662 - 01K5JVS95J7D3CKY4ZXDD4514K.csv,Matt Murphy,77.662
Garage 61 - Max Smeets - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.164 - 01K5SMBZX3QADQJGHS8C42RJ5T.csv,Max Smeets,77.164
Garage 61 - Mike Stofmeel - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.336 - 01K5JS0J2QPRRMCK87EXZ989VA.csv,Mike Stofmeel,74.336
Garage 61 - Miles Hughes - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.797 - 01K53WJGEDJ4D95T364Y2G223Q.csv,Miles Hughes,76.797
Garage 61 - Miles Kelly - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.029 - 01K5FT1SRKC84DDRWVKTDS68XN.csv,Miles Kelly,77.029
Garage 61 - Miles Sewell - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.394 - 01K57VX42VMX84W2GCKD7BYQ5D.csv,Miles Sewell,74.394
Garage 61 - Mohammed Zourob - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.889 - 01K5FNT2NK6FGDYGB4YKBC5K0J.csv,Mohammed Zourob,77.889
Garage 61 - Mytch Beveridge - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.006 - 01K5BA9Y6ZWHNR6C1WMCDEC7G7.csv,Mytch Beveridge,74.006
